Year,Month,ChuckQ,ChuckP,PHQ,PHP,RibEQ,RibEP,ChickQ,ChickP,DisInc,luxrain
2001,1,120,2.28,53,6.04,74,7.02,100,1.61,8664.6,4.65
2001,2,76,2.61,81,5.37,79,7.16,99,1.68,8689.8,2.87
2001,3,102,2.12,60,5.74,71,7.33,102,1.57,8711.7,5.43
2001,4,106,2.41,65,6.93,112,7.38,98,1.73,8710.7,4.76
2001,5,87,2.39,92,5.95,113,6.47,98,1.74,8716.5,0.62
2001,6,94,2.11,157,5.24,89,7.14,104,1.63,8732.4,3.12
2001,7,97,2.66,149,5.39,146,7.02,102,1.69,8733.2,3.34
2001,8,79,2.5,133,5.54,120,6.28,101,1.71,8727.7,1.85
2001,9,138,2.39,97,6.28,120,7.57,97,1.79,8738.5,4.44
2001,10,129,2.3,113,5.43,106,6.72,98,1.65,8743.1,2.04
2001,11,77,2.69,78,5.46,76,7.73,93,1.75,8751.7,3.04
2001,12,94,2.44,123,4.81,93,7.71,91,1.79,8769.6,2.35
2002,1,135,2.23,87,5.49,83,6.74,96,1.65,8789.9,1.93
2002,2,120,2.45,73,5.54,136,6.87,95,1.72,8814.2,5.69
2002,3,131,2.24,88,5.76,119,7.11,96,1.68,8840.2,2.73
2002,4,104,2.41,108,5.28,114,7,96,1.67,8879,1.69
2002,5,144,2.24,82,6.05,151,6.7,98,1.63,8889.3,2.4
2002,6,139,2.08,148,5.34,248,7.08,97,1.66,8907.6,1.3
2002,7,98,2.42,155,5.1,201,6.54,95,1.73,8894.8,2.35
2002,8,112,2.47,45,6.88,168,6.46,95,1.73,8892.7,4.55
2002,9,184,2.34,97,5.67,165,6.72,95,1.76,8898.8,1.94
2002,10,98,2.33,82,5.65,105,6.89,98,1.68,8910.3,5.57
2002,11,109,2.35,65,6.38,88,7.69,102,1.62,8920.8,4.49
2002,12,135,2.35,53,6.22,108,7.44,100,1.83,8945.3,3.44
2003,1,132,2.22,63,5.86,182,6.65,106,1.7,8976.3,4.02
2003,2,142,2.38,59,6.72,150,6.72,107,1.67,9011.5,0.72
2003,3,128,2.45,55,7.12,144,7.51,107,1.68,9053.2,1.85
2003,4,94,2.53,49,6.54,121,7.8,103,1.84,9067.9,2.04
2003,5,93,2.34,92,6.7,161,7.4,105,1.81,9124.5,3.76
2003,6,126,2.48,88,6.91,280,6.64,108,1.74,9163.4,1.91
2003,7,83,2.4,65,7.33,170,6.68,109,1.71,9188.2,1.99
2003,8,109,2.54,92,6.7,165,7.73,104,1.82,9214.2,1.86
2003,9,112,2.46,41,7.75,106,8.2,105,1.8,9243.7,0.96
2003,10,83,2.86,42,7.22,104,8.32,105,1.8,9271.7,2.77
2003,11,90,2.9,56,7.57,91,9.74,106,1.79,9339.4,1.94
2003,12,77,3.03,30,8.4,63,9.87,104,1.85,9374.8,2.05
2004,1,86,2.83,41,6.65,67,9.92,113,1.61,9435.9,4.13
2004,2,165,2.55,51,6.94,111,8.48,113,1.61,9487.9,1.11
2004,3,109,2.25,25,7.4,118,7.51,112,1.64,9530.7,1.3
2004,4,89,2.37,34,7.45,107,8.27,112,1.66,9571.8,2.24
2004,5,125,2.27,54,7.51,125,8.27,112,1.66,9628.3,2.66
2004,6,108,2.28,33,8.6,117,8.86,112,1.66,9642.8,1.7
2004,7,88,2.52,34,8.54,119,8.55,112,1.7,9689,2.71
2004,8,101,2.64,41,8.36,143,8.87,108,1.85,9739.8,5.03
2004,9,85,2.64,51,6.98,100,7.48,114,1.72,9759,1.8
2004,10,113,2.61,45,6.88,82,8.2,118,1.63,9858.4,2.74
2004,11,85,2.69,27,7.19,73,8.59,117,1.68,9924.9,1.72
2004,12,90,2.67,31,7.08,70,8.1,118,1.64,10291,1.7
2005,1,113,2.62,38,6.89,89,8.34,121,1.59,10025.2,2.07
2005,2,98,2.7,39,7.05,84,7.9,121,1.55,10072.9,2.16
2005,3,86,2.82,30,7.8,105,7.88,118,1.61,10122,0.99
2005,4,93,2.66,38,7.88,111,8.92,117,1.64,10145.1,1.87
2005,5,127,2.51,55,7.68,159,7.6,118,1.6,10180.6,3.13
2005,6,83,2.47,40,8.17,141,7.99,117,1.65,10231.5,1.54
2005,7,94,2.44,39,8.06,156,7.18,118,1.62,10268.8,5.5
